Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,25.236157810704974,25.236157810704974,25.11060478677112,25.21822166442871,1003200,29,4,4,1,1993
1993-02-01,25.236146320730953,25.397571563720703,25.236146320730953,25.397571563720703,480500,1,0,5,2,1993
1993-02-02,25.37967326357131,25.46935408782421,25.32586476901957,25.451417922973633,201300,2,1,5,2,1993
1993-02-03,25.487269953537517,25.738376061454144,25.469333802972045,25.720439910888672,529400,3,2,5,2,1993
1993-02-04,25.810131621360778,25.881876254081725,25.52315309047699,25.828067779541016,531500,4,3,5,2,1993
1993-02-05,25.810129165649414,25.863937635070506,25.666639913859843,25.810129165649414,492100,5,4,5,2,1993
1993-02-08,25.810129165649414,25.899809948017896,25.77425685270202,25.810129165649414,596100,8,0,6,2,1993
1993-02-09,25.720444777363912,25.720444777363912,25.576955545691032,25.63076400756836,122100,9,1,6,2,1993
1993-02-10,25.63074796904558,25.684556397252113,25.559003398103535,25.6666202545166,379600,10,2,6,2,1993
1993-02-11,25.70249457220043,25.899792157890733,25.70249457220043,25.79217529296875,19500,11,3,6,2,1993
1993-02-12,25.75630637625338,25.75630637625338,25.594881057739258,25.594881057739258,42500,12,4,6,2,1993
1993-02-16,25.523137309926607,25.523137309926607,24.91330830884614,24.949180603027344,374800,16,1,7,2,1993
1993-02-17,24.94918195189332,24.985054248013945,24.84156506353145,24.931245803833008,210900,17,2,7,2,1993
1993-02-18,25.218231330250905,25.218231330250905,24.572529816816314,24.91331672668457,378100,18,3,7,2,1993
1993-02-19,24.91331568270537,25.00299644470215,24.87744337790666,25.00299644470215,34900,19,4,7,2,1993
1993-02-22,25.074738105081337,25.12854655595061,25.002993503922305,25.092674255371094,513600,22,0,8,2,1993
1993-02-23,25.164416384117118,25.182352532644643,24.94918260178682,25.074735641479492,373700,23,1,8,2,1993
1993-02-24,25.092657215851172,25.397571563720703,25.092657215851172,25.397571563720703,26300,24,2,8,2,1993
1993-02-25,25.37967326357131,25.46935408782421,25.32586476901957,25.451417922973633,44500,25,3,8,2,1993
1993-02-26,25.505198871309197,25.505198871309197,25.361709707476233,25.487262725830078,66200,26,4,8,2,1993
1993-03-01,25.576943114179077,25.576943114179077,25.379645516524118,25.415517807006836,66500,1,0,9,3,1993
1993-03-02,25.43345240989547,25.79217529296875,25.397580121588142,25.79217529296875,182400,2,1,9,3,1993
1993-03-03,25.828062358655426,25.91774313073409,25.79219004982396,25.89980697631836,280100,3,2,9,3,1993
1993-03-04,25.935669075479748,25.935669075479748,25.75630760192871,25.75630760192871,89500,4,3,9,3,1993
1993-03-05,25.792189142557493,25.899806065266358,25.66663606606382,25.684572219848633,40000,5,4,9,3,1993
1993-03-08,25.73837184515156,26.258520126342773,25.73837184515156,26.258520126342773,50800,8,0,10,3,1993
1993-03-09,26.204729894647212,26.222666054739374,26.115049094186407,26.16885757446289,169300,9,1,10,3,1993
1993-03-10,26.168842079538326,26.2226505279541,26.061225182706778,26.2226505279541,194400,10,2,10,3,1993
1993-03-11,26.24057487205223,26.31231943766276,26.115021882233798,26.150894165039062,70900,11,3,10,3,1993
1993-03-12,25.935674909246686,25.953611060636206,25.72044109257244,25.881866455078125,643600,12,4,10,3,1993
1993-03-15,25.86393796197299,26.007427215576172,25.86393796197299,26.007427215576172,310800,15,0,11,3,1993
1993-03-16,26.007427215576172,26.07917184237776,26.007427215576172,26.007427215576172,30800,16,1,11,3,1993
1993-03-17,25.97153651325509,25.97153651325509,25.81011121724729,25.845983505249023,21800,17,2,11,3,1993
1993-03-18,25.95361874547498,26.115044155778556,25.95361874547498,26.007427215576172,59300,18,3,11,3,1993
1993-03-19,26.112216831659957,26.112216831659957,25.968050003051758,25.968050003051758,66900,19,4,11,3,1993
1993-03-22,25.715761734402772,25.87794943980545,25.69774087824692,25.82388687133789,183400,22,0,12,3,1993
1993-03-23,25.895973434023205,25.91399429236282,25.84191085900437,25.877952575683594,55200,23,1,12,3,1993
1993-03-24,25.84191085900437,25.98607772572127,25.71576485062708,25.877952575683594,37200,24,2,12,3,1993
1993-03-25,25.895975182873155,26.09420463799605,25.859933463759898,26.040142059326172,110100,25,3,12,3,1993
1993-03-26,26.02212496275029,26.04014582491286,25.877958065449736,25.895978927612305,101500,26,4,12,3,1993
1993-03-29,25.91399650018577,26.130246818685237,25.91399650018577,26.004100799560547,87100,29,0,13,3,1993
1993-03-30,26.040137791188734,26.07617950439453,26.004096077982936,26.07617950439453,56000,30,1,13,3,1993
1993-03-31,26.148255502534607,26.22033890846854,26.058151245117188,26.058151245117188,111600,31,2,13,3,1993
1993-04-01,26.09419597808393,26.09419597808393,25.913987442323684,25.968050003051758,129500,1,3,13,4,1993
1993-04-02,25.751810419905873,25.751810419905873,25.42743492126465,25.42743492126465,59400,2,4,13,4,1993
1993-04-05,25.625649380919292,25.625649380919292,25.48148257708852,25.553565979003906,172200,5,0,14,4,1993
1993-04-06,25.60764475152044,25.60764475152044,25.409415270685304,25.48149871826172,129700,6,1,14,4,1993
1993-04-07,25.517558317607854,25.57162094116211,25.463495694053602,25.57162094116211,28000,7,2,14,4,1993
1993-04-08,25.679719826665327,25.679719826665327,25.42742784240335,25.535552978515625,180800,8,3,14,4,1993
1993-04-12,25.78785375463689,25.913999789774874,25.751812030311747,25.895978927612305,348500,12,0,15,4,1993
1993-04-13,25.877964978747897,26.040152781539494,25.859944111771053,25.950048446655273,146100,13,1,15,4,1993
1993-04-14,25.96804876420362,25.98606961691993,25.895965353338376,25.913986206054688,119600,14,2,15,4,1993
1993-04-15,25.895965353338376,25.96804876420362,25.805861089756824,25.913986206054688,148600,15,3,15,4,1993
1993-04-16,25.932007058771,25.96804876420362,25.877944500622068,25.913986206054688,47900,16,4,15,4,1993
1993-04-19,25.914000956039853,25.986084407934264,25.78785491522464,25.805875778198242,157000,19,0,16,4,1993
1993-04-20,25.76983377557052,25.805875501130757,25.51754169664885,25.679729461669922,279500,20,1,16,4,1993
1993-04-21,25.733784632736377,25.733784632736377,25.58961777204878,25.661701202392578,67900,21,2,16,4,1993
1993-04-22,25.553574419632067,25.76982469680808,25.337324142456055,25.337324142456055,97700,22,3,16,4,1993
1993-04-23,25.283268669673372,25.355352115631103,25.193164362226213,25.229206085205078,106000,23,4,16,4,1993
1993-04-26,25.247227592550654,25.337331902302797,24.958893801343795,25.030977249145508,62600,26,0,17,4,1993
1993-04-27,24.99494150764922,25.30129623413086,24.99494150764922,25.30129623413086,156800,27,1,17,4,1993
1993-04-28,25.2652399415718,25.319302509207116,25.21117737393648,25.24721908569336,85900,28,2,17,4,1993
1993-04-29,25.30129362321866,25.355356216430664,25.157126707986645,25.355356216430664,85000,29,3,17,4,1993
1993-04-30,25.445460068409623,25.53556438876518,25.39139747619629,25.39139747619629,88500,30,4,17,4,1993
1993-05-03,25.427420025651983,25.553565979003906,25.319294922778905,25.553565979003906,80500,3,0,18,5,1993
1993-05-04,25.607635047682056,25.733781033138616,25.571593337551608,25.6436767578125,149100,4,1,18,5,1993
1993-05-05,25.64367966361203,25.80586737757725,25.64367966361203,25.715763092041016,109000,5,2,18,5,1993
1993-05-06,25.679714870855275,25.697735723396228,25.607631460691472,25.625652313232422,54700,6,3,18,5,1993
1993-05-07,25.643704439234448,25.643704439234448,25.53557919212594,25.57162094116211,68000,7,4,18,5,1993
1993-05-10,25.607631460691472,25.76981913356003,25.607631460691472,25.625652313232422,113900,10,0,19,5,1993
1993-05-11,25.625660479569635,25.73378562927246,25.55357704643442,25.73378562927246,42600,11,1,19,5,1993
1993-05-12,25.62565332709656,25.71575759336624,25.62565332709656,25.697736740112305,31000,12,2,19,5,1993
